id,order_id,ticket_id,product_id,product_nombre,staff_id,staff_nombre,cantidad,total,is_delivery,delivery_range,courtesy_percent,order_name,payment_method,ticket,created_at
"29","","1029","9","Tenis Runner X","2","Juan","1","2200","0","","0","","tarjeta","","10/03/2026"
"30","","1030","10","Tenis Sport Pro","3","Jose","1","2500","0","","0","","efectivo","","10/03/2026"
"31","","2001","11","Tenis Urban Lite","1","Admin","1","1800","0","","0","","efectivo","","01/04/2026"
"32","","2002","12","Tenis Trail Master","2","Juan","1","2400","0","","0","","tarjeta","","01/04/2026"
"33","","2003","13","Tenis Classic 01","3","Jose","2","3200","0","","0","","efectivo","","01/04/2026"
"34","","2004","14","Tenis Comfort Plus","1","Admin","1","2000","0","","0","","tarjeta","","02/04/2026"
"35","","2005","15","Tenis Velocity Pro","2","Juan","1","2300","0","","0","","efectivo","","02/04/2026"
"36","","2006","16","Tenis Minimal Light","3","Jose","1","1750","0","","0","","tarjeta","","02/04/2026"
"37","","2007","17","Pack Calcetines Sport","1","Admin","2","300","0","","0","","efectivo","","03/04/2026"
"38","","2008","18","Cordones Refuerzo","2","Juan","1","120","0","","0","","tarjeta","","03/04/2026"
"39","","2009","19","Gorro Beanie","3","Jose","1","300","0","","0","","efectivo","","03/04/2026"
"40","","2010","20","Bolsa Tote Logo","1","Admin","1","350","0","","0","","tarjeta","","04/04/2026"
"41","","2011","1","Gorra Snapback Classic","2","Juan","1","450","0","","0","","efectivo","","04/04/2026"
"42","","2012","2","Gorra Trucker Mesh","3","Jose","2","840","0","","0","","tarjeta","","04/04/2026"
"43","","2013","3","Gorra Beisbol Básica","1","Admin","1","350","0","","0","","efectivo","","05/04/2026"
"44","","2014","4","Gorra Visera Plana Urban","2","Juan","1","480","0","","0","","tarjeta","","05/04/2026"
"45","","2015","5","Gorra Vintage Denim","3","Jose","1","500","0","","0","","efectivo","","05/04/2026"
"46","","2016","6","Gorra Running Light","1","Admin","2","760","0","","0","","efectivo","","06/04/2026"
"47","","2017","7","Gorra Lana Premium","2","Juan","1","550","0","","0","","tarjeta","","06/04/2026"
"48","","2018","8","Gorra Logo Patch","3","Jose","1","400","0","","0","","efectivo","","06/04/2026"
"49","","2019","9","Tenis Runner X","1","Admin","2","4400","0","","0","","tarjeta","","07/04/2026"
"50","","2020","10","Tenis Sport Pro","2","Juan","1","2500","0","","0","","efectivo","","07/04/2026"
"51","","2021","11","Tenis Urban Lite","3","Jose","1","1800","0","","0","","tarjeta","","07/04/2026"
"52","","2022","12","Tenis Trail Master","1","Admin","1","2400","0","","0","","efectivo","","08/04/2026"
"53","","2023","13","Tenis Classic 01","2","Juan","2","3200","0","","0","","tarjeta","","08/04/2026"
"54","","2024","14","Tenis Comfort Plus","3","Jose","1","2000","0","","0","","efectivo","","08/04/2026"
"55","","2025","15","Tenis Velocity Pro","1","Admin","1","2300","0","","0","","tarjeta","","09/04/2026"
"56","","2026","16","Tenis Minimal Light","2","Juan","1","1750","0","","0","","efectivo","","09/04/2026"
"57","","2027","17","Pack Calcetines Sport","3","Jose","2","300","0","","0","","tarjeta","","09/04/2026"
"58","","2028","18","Cordones Refuerzo","1","Admin","1","120","0","","0","","efectivo","","10/04/2026"
"59","","2029","19","Gorro Beanie","2","Juan","1","300","0","","0","","tarjeta","","10/04/2026"
"60","","2030","20","Bolsa Tote Logo","3","Jose","2","700","0","","0","","efectivo","","10/04/2026"
"61","","3001","1","Gorra Snapback Classic","1","Admin","2","900","0","","0","","tarjeta","","01/05/2026"
"62","","3002","2","Gorra Trucker Mesh","2","Juan","1","420","0","","0","","efectivo","","01/05/2026"
"63","","3003","3","Gorra Beisbol Básica","3","Jose","1","350","0","","0","","tarjeta","","01/05/2026"
"64","","3004","4","Gorra Visera Plana Urban","1","Admin","1","480","0","","0","","efectivo","","02/05/2026"
"65","","3005","5","Gorra Vintage Denim","2","Juan","1","500","0","","0","","tarjeta","","02/05/2026"
"66","","3006","6","Gorra Running Light","3","Jose","2","760","0","","0","","efectivo","","02/05/2026"
"67","","3007","7","Gorra Lana Premium","1","Admin","1","550","0","","0","","tarjeta","","03/05/2026"
"68","","3008","8","Gorra Logo Patch","2","Juan","1","400","0","","0","","efectivo","","03/05/2026"
"69","","3009","9","Tenis Runner X","3","Jose","1","2200","0","","0","","tarjeta","","03/05/2026"
"70","","3010","10","Tenis Sport Pro","1","Admin","2","5000","0","","0","","efectivo","","04/05/2026"
"71","","3011","11","Tenis Urban Lite","2","Juan","1","1800","0","","0","","tarjeta","","04/05/2026"
"72","","3012","12","Tenis Trail Master","3","Jose","1","2400","0","","0","","efectivo","","04/05/2026"
"73","","3013","13","Tenis Classic 01","1","Admin","1","1600","0","","0","","tarjeta","","05/05/2026"
"74","","3014","14","Tenis Comfort Plus","2","Juan","1","2000","0","","0","","efectivo","","05/05/2026"
"75","","3015","15","Tenis Velocity Pro","3","Jose","1","2300","0","","0","","tarjeta","","05/05/2026"
"76","","3016","16","Tenis Minimal Light","1","Admin","1","1750","0","","0","","efectivo","","06/05/2026"
"77","","3017","17","Pack Calcetines Sport","2","Juan","3","450","0","","0","","tarjeta","","06/05/2026"
"78","","3018","18","Cordones Refuerzo","3","Jose","2","240","0","","0","","efectivo","","06/05/2026"
"79","","3019","19","Gorro Beanie","1","Admin","1","300","0","","0","","tarjeta","","07/05/2026"
"80","","3020","20","Bolsa Tote Logo","2","Juan","1","350","0","","0","","efectivo","","07/05/2026"
"81","","3021","1","Gorra Snapback Classic","3","Jose","2","900","0","","0","","tarjeta","","07/05/2026"
"82","","3022","2","Gorra Trucker Mesh","1","Admin","1","420","0","","0","","efectivo","","08/05/2026"
"83","","3023","3","Gorra Beisbol Básica","2","Juan","2","700","0","","0","","tarjeta","","08/05/2026"
"84","","3024","4","Gorra Visera Plana Urban","3","Jose","1","480","0","","0","","efectivo","","08/05/2026"
"85","","3025","5","Gorra Vintage Denim","1","Admin","2","1000","0","","0","","tareta","","09/05/2026"
"86","","3026","6","Gorra Running Light","2","Juan","1","380","0","","0","","efectivo","","09/05/2026"
"87","","3027","7","Gorra Lana Premium","3","Jose","1","550","0","","0","","tarjeta","","09/05/2026"
"88","","3028","8","Gorra Logo Patch","1","Admin","2","800","0","","0","","efectivo","","10/05/2026"
"89","","3029","9","Tenis Runner X","2","Juan","1","4400","0","","0","","tarjeta","","10/05/2026"
"90","","3030","10","Tenis Sport Pro","3","Jose","1","2500","0","","0","","efectivo","","10/05/2026"
